"charset","UTF-8",
"filename","TopoExportData-2017_08_24-15_52_10.csv",
"exporttime","08/24/2017 15:52:45",
"exportuser","admin",
"total","1490",



"class","parentdn","path","label","alias","dn","type","x","y","longitude","latitude","icon","background","category","memo",
"ne","NE=396","/Physical Root/EASY_DEPLOYMENT/LCAIW30307_Site_76/Cabinet No.=0, Subrack No.=80, Slot No.=0,RRU3971_0-80-0","Cabinet No.=0, Subrack No.=80, Slot No.=0,RRU3971_0-80-0","","NE=396,eNodeBRRU=0_0_80","RRU","400.0","360.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=80, Slot No.=0,RRU3971_0-80-0",
"ne","NE=396","/Physical Root/EASY_DEPLOYMENT/LCAIW30307_Site_76/Cabinet No.=0, Subrack No.=81, Slot No.=0,RRU3971_0-81-0","Cabinet No.=0, Subrack No.=81, Slot No.=0,RRU3971_0-81-0","","NE=396,eNodeBRRU=0_0_81","RRU","400.0","400.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=81, Slot No.=0,RRU3971_0-81-0",
"ne","NE=396","/Physical Root/EASY_DEPLOYMENT/LCAIW30307_Site_76/Cabinet No.=0, Subrack No.=82, Slot No.=0,RRU3971_0-82-0","Cabinet No.=0, Subrack No.=82, Slot No.=0,RRU3971_0-82-0","","NE=396,eNodeBRRU=0_0_82","RRU","400.0","440.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=82, Slot No.=0,RRU3971_0-82-0",
"ne","NE=382","/Physical Root/EASY_DEPLOYMENT/LCAIN30075_EL KHOSOS 3/Cabinet No.=0, Subrack No.=70, Slot No.=0,RRU3262_0-70-0","Cabinet No.=0, Subrack No.=70, Slot No.=0,RRU3262_0-70-0","","NE=382,eNodeBRRU=0_0_70","RRU","400.0","240.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=70, Slot No.=0,RRU3262_0-70-0",
"ne","NE=382","/Physical Root/EASY_DEPLOYMENT/LCAIN30075_EL KHOSOS 3/Cabinet No.=0, Subrack No.=71, Slot No.=0,RRU3262_0-71-0","Cabinet No.=0, Subrack No.=71, Slot No.=0,RRU3262_0-71-0","","NE=382,eNodeBRRU=0_0_71","RRU","400.0","280.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=71, Slot No.=0,RRU3262_0-71-0",
"ne","NE=382","/Physical Root/EASY_DEPLOYMENT/LCAIN30075_EL KHOSOS 3/Cabinet No.=0, Subrack No.=72, Slot No.=0,RRU3262_0-72-0","Cabinet No.=0, Subrack No.=72, Slot No.=0,RRU3262_0-72-0","","NE=382,eNodeBRRU=0_0_72","RRU","400.0","320.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=72, Slot No.=0,RRU3262_0-72-0",
"ne","NE=382","/Physical Root/EASY_DEPLOYMENT/LCAIN30075_EL KHOSOS 3/Cabinet No.=0, Subrack No.=80, Slot No.=0,RRU3971_0-80-0","Cabinet No.=0, Subrack No.=80, Slot No.=0,RRU3971_0-80-0","","NE=382,eNodeBRRU=0_0_80","RRU","400.0","360.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=80, Slot No.=0,RRU3971_0-80-0",
"ne","NE=382","/Physical Root/EASY_DEPLOYMENT/LCAIN30075_EL KHOSOS 3/Cabinet No.=0, Subrack No.=81, Slot No.=0,RRU3971_0-81-0","Cabinet No.=0, Subrack No.=81, Slot No.=0,RRU3971_0-81-0","","NE=382,eNodeBRRU=0_0_81","RRU","400.0","400.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=81, Slot No.=0,RRU3971_0-81-0",
"ne","NE=382","/Physical Root/EASY_DEPLOYMENT/LCAIN30075_EL KHOSOS 3/Cabinet No.=0, Subrack No.=82, Slot No.=0,RRU3971_0-82-0","Cabinet No.=0, Subrack No.=82, Slot No.=0,RRU3971_0-82-0","","NE=382,eNodeBRRU=0_0_82","RRU","400.0","440.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=82, Slot No.=0,RRU3971_0-82-0",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LALXN13113_Abou_Talat","LALXN13113_Abou_Talat","","NE=419","BTS3900 LTE","1086.0","199.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE.gif","","1","",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LCAIE20045_Site_199","LCAIE20045_Site_199","","NE=420","BTS3900 LTE","117.0","210.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE_FDD.gif","","1","",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LCAIW10253_Balaqs LE","LCAIW10253_Balaqs LE","","NE=421","BTS3900 LTE","68.0","91.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE_FDD.gif","","1","",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LCAIW30312_Site_68","LCAIW30312_Site_68","","NE=422","BTS3900 LTE","-52.0","210.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE.gif","","1","",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LCAIW30528_Tebeen LE","LCAIW30528_Tebeen LE","","NE=423","BTS3900 LTE","745.0","317.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE_FDD.gif","","1","",
"ne","NE=423","/Physical Root/EASY_DEPLOYMENT/LCAIW30528_Tebeen LE/Cabinet No.=0, Subrack No.=70, Slot No.=0,RRU3262_0-70-0","Cabinet No.=0, Subrack No.=70, Slot No.=0,RRU3262_0-70-0","","NE=423,eNodeBRRU=0_0_70","RRU","400.0","240.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=70, Slot No.=0,RRU3262_0-70-0",
"ne","NE=423","/Physical Root/EASY_DEPLOYMENT/LCAIW30528_Tebeen LE/Cabinet No.=0, Subrack No.=71, Slot No.=0,RRU3262_0-71-0","Cabinet No.=0, Subrack No.=71, Slot No.=0,RRU3262_0-71-0","","NE=423,eNodeBRRU=0_0_71","RRU","400.0","280.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=71, Slot No.=0,RRU3262_0-71-0",
"ne","NE=423","/Physical Root/EASY_DEPLOYMENT/LCAIW30528_Tebeen LE/Cabinet No.=0, Subrack No.=72, Slot No.=0,RRU3262_0-72-0","Cabinet No.=0, Subrack No.=72, Slot No.=0,RRU3262_0-72-0","","NE=423,eNodeBRRU=0_0_72","RRU","400.0","320.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=72, Slot No.=0,RRU3262_0-72-0",
"ne","NE=423","/Physical Root/EASY_DEPLOYMENT/LCAIW30528_Tebeen LE/Cabinet No.=0, Subrack No.=80, Slot No.=0,RRU3971_0-80-0","Cabinet No.=0, Subrack No.=80, Slot No.=0,RRU3971_0-80-0","","NE=423,eNodeBRRU=0_0_80","RRU","400.0","360.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=80, Slot No.=0,RRU3971_0-80-0",
"ne","NE=423","/Physical Root/EASY_DEPLOYMENT/LCAIW30528_Tebeen LE/Cabinet No.=0, Subrack No.=81, Slot No.=0,RRU3971_0-81-0","Cabinet No.=0, Subrack No.=81, Slot No.=0,RRU3971_0-81-0","","NE=423,eNodeBRRU=0_0_81","RRU","400.0","400.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=81, Slot No.=0,RRU3971_0-81-0",
"ne","NE=423","/Physical Root/EASY_DEPLOYMENT/LCAIW30528_Tebeen LE/Cabinet No.=0, Subrack No.=82, Slot No.=0,RRU3971_0-82-0","Cabinet No.=0, Subrack No.=82, Slot No.=0,RRU3971_0-82-0","","NE=423,eNodeBRRU=0_0_82","RRU","400.0","440.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=82, Slot No.=0,RRU3971_0-82-0",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LALXN13089_Abdel-Kader LE Village","LALXN13089_Abdel-Kader LE Village","","NE=424","BTS3900 LTE","1333.0","84.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE_FDD.gif","","1","",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LALXN23131_Add burj al arab","LALXN23131_Add burj al arab","","NE=425","BTS3900 LTE","1340.0","386.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE_FDD.gif","","1","",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LCAIE20055_02-1-08-15","LCAIE20055_02-1-08-15","","NE=426","BTS3900 LTE","22.0","326.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE_FDD.gif","","1","",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LALXA13045_ADD ABISS","LALXA13045_ADD ABISS","","NE=427","BTS3900 LTE","1085.0","140.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE.gif","","1","",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LALXA13062_Alex-Site_19","LALXA13062_Alex-Site_19","","NE=428","BTS3900 LTE","1021.0","258.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE.gif","","1","",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LALXA23046_Add Green plaza","LALXA23046_Add Green plaza","","NE=429","BTS3900 LTE","1014.0","77.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE.gif","","1","",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LALXA23061_Alex-Site_29","LALXA23061_Alex-Site_29","","NE=430","BTS3900 LTE","1085.0","430.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE_FDD.gif","","1","",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LALXA33019_add izbet el maraei","LALXA33019_add izbet el maraei","","NE=431","BTS3900 LTE","1019.0","198.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE.gif","","1","",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LCAIE10003_Zaied","LCAIE10003_Zaied","","NE=432","BTS3900 LTE","9.0","269.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE.gif","","1","",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LCAIE10024_Site_299","LCAIE10024_Site_299","","NE=433","BTS3900 LTE","185.0","25.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE_FDD.gif","","1","",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LCAIE10094_Site_185","LCAIE10094_Site_185","","NE=434","BTS3900 LTE","201.0","145.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE_FDD.gif","","1","",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LCAIE20069_Site_177","LCAIE20069_Site_177","","NE=435","BTS3900 LTE","238.0","451.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE_FDD.gif","","1","",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LCAIE20103_Site_180","LCAIE20103_Site_180","","NE=436","BTS3900 LTE","67.0","153.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE_FDD.gif","","1","",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LCAIN20544_Site_544","LCAIN20544_Site_544","","NE=437","BTS3900 LTE","239.0","394.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE_FDD.gif","","1","",
"topo subnet","/","/Physical Root","Physical Root","","/","Root","0.0","0.0","0D0'0""W","0D0'0""S","image/iconS/root.gif","","1","",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LCAIE30211_Site_235","LCAIE30211_Site_235","","NE=438","BTS3900 LTE","31.0","27.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE_FDD.gif","","1","",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LCAIW10226_Site_274","LCAIW10226_Site_274","","NE=439","BTS3900 LTE","9.0","89.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE.gif","","1","",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LCAIW10228_Site_278","LCAIW10228_Site_278","","NE=440","BTS3900 LTE","608.0","716.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE_FDD.gif","","1","",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LCAIW10238_Site_292","LCAIW10238_Site_292","","NE=441","BTS3900 LTE","757.0","-48.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE_FDD.gif","","1","",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LCAIW10252_Site_298","LCAIW10252_Site_298","","NE=442","BTS3900 LTE","537.0","559.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE_FDD.gif","","1","",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LCAIW20265_02-3-19-51","LCAIW20265_02-3-19-51","","NE=443","BTS3900 LTE","5.0","600.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE_FDD.gif","","1","",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LCAIW20277_Site_102","LCAIW20277_Site_102","","NE=444","BTS3900 LTE","63.0","212.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE_FDD.gif","","1","",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LCAIW20291_Site_239","LCAIW20291_Site_239","","NE=445","BTS3900 LTE","241.0","212.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE_FDD.gif","","1","",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LCAIW20299_Site_262","LCAIW20299_Site_262","","NE=446","BTS3900 LTE","86.0","-19.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE_FDD.gif","","1","",
"ne","/CommonSubnet=PLTSN_108/","/Physical Root/EASY_DEPLOYMENT/LCAIW30306_Site_66","LCAIW30306_Site_66","","NE=447","BTS3900 LTE","123.0","25.0","0D0'0""W","0D0'0""S","image/iconN/node_LTE_FDD.gif","","1","",
"ne","NE=381","/Physical Root/EASY_DEPLOYMENT/LCAIN10142_Ahmed_Orabi_1/Cabinet No.=0, Subrack No.=70, Slot No.=0,RRU3262_0-70-0","Cabinet No.=0, Subrack No.=70, Slot No.=0,RRU3262_0-70-0","","NE=381,eNodeBRRU=0_0_70","RRU","400.0","240.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=70, Slot No.=0,RRU3262_0-70-0",
"ne","NE=381","/Physical Root/EASY_DEPLOYMENT/LCAIN10142_Ahmed_Orabi_1/Cabinet No.=0, Subrack No.=71, Slot No.=0,RRU3262_0-71-0","Cabinet No.=0, Subrack No.=71, Slot No.=0,RRU3262_0-71-0","","NE=381,eNodeBRRU=0_0_71","RRU","400.0","280.0","180D0'0""E","90D0'0""N","image/iconN/node_rru.gif","","0","Cabinet No.=0, Subrack No.=71, Slot No.=0,RRU3262_0-71-0",
